,level,left,top,organ
"16,58,173",16,58,173,40_collagenous_fiber
"16,58,174",16,58,174,40_collagenous_fiber
"16,58,175",16,58,175,40_collagenous_fiber
"16,58,176",16,58,176,40_collagenous_fiber
"16,58,177",16,58,177,40_collagenous_fiber
"16,58,178",16,58,178,40_collagenous_fiber
"16,58,179",16,58,179,40_collagenous_fiber
"16,58,181",16,58,181,40_collagenous_fiber
"16,58,182",16,58,182,40_collagenous_fiber
"16,58,183",16,58,183,40_collagenous_fiber
"16,58,184",16,58,184,40_collagenous_fiber
"16,58,185",16,58,185,40_collagenous_fiber
"16,59,11",16,59,11,02_testicle
"16,59,12",16,59,12,02_testicle
"16,59,13",16,59,13,02_testicle
"16,59,14",16,59,14,02_testicle
"16,59,15",16,59,15,02_testicle
"16,59,16",16,59,16,02_testicle
"16,59,17",16,59,17,02_testicle
"16,59,18",16,59,18,02_testicle
"16,59,19",16,59,19,02_testicle
"16,59,20",16,59,20,02_testicle
"16,59,21",16,59,21,02_testicle
"16,59,22",16,59,22,02_testicle
"16,59,24",16,59,24,02_testicle
"16,59,26",16,59,26,02_testicle
"16,59,27",16,59,27,02_testicle
"16,59,28",16,59,28,02_testicle
"16,59,29",16,59,29,02_testicle
"16,59,43",16,59,43,10_corpus_luteum
"16,59,44",16,59,44,10_corpus_luteum
"16,59,45",16,59,45,10_corpus_luteum
"16,59,46",16,59,46,10_corpus_luteum
"16,59,47",16,59,47,10_corpus_luteum
"16,59,48",16,59,48,10_corpus_luteum
"16,59,49",16,59,49,10_corpus_luteum
"16,59,50",16,59,50,10_corpus_luteum
"16,59,51",16,59,51,10_corpus_luteum
"16,59,52",16,59,52,10_corpus_luteum
"16,59,53",16,59,53,10_corpus_luteum
"16,59,54",16,59,54,10_corpus_luteum
"16,59,55",16,59,55,10_corpus_luteum
"16,59,56",16,59,56,10_corpus_luteum
"16,59,57",16,59,57,10_corpus_luteum
"16,59,58",16,59,58,10_corpus_luteum
"16,59,59",16,59,59,10_corpus_luteum
"16,59,75",16,59,75,17_prostate
"16,59,76",16,59,76,17_prostate
"16,59,77",16,59,77,17_prostate
"16,59,78",16,59,78,17_prostate
"16,59,79",16,59,79,17_prostate
"16,59,80",16,59,80,17_prostate
"16,59,81",16,59,81,17_prostate
"16,59,82",16,59,82,17_prostate
"16,59,83",16,59,83,17_prostate
"16,59,84",16,59,84,17_prostate
"16,59,85",16,59,85,17_prostate
"16,59,86",16,59,86,17_prostate
"16,59,87",16,59,87,17_prostate
"16,59,88",16,59,88,17_prostate
"16,59,89",16,59,89,17_prostate
"16,59,90",16,59,90,17_prostate
"16,59,91",16,59,91,17_prostate
"16,59,92",16,59,92,17_prostate
"16,59,106",16,59,106,25_ceberal_cortex
"16,59,107",16,59,107,25_ceberal_cortex
"16,59,108",16,59,108,25_ceberal_cortex
"16,59,109",16,59,109,25_ceberal_cortex
"16,59,110",16,59,110,25_ceberal_cortex
"16,59,111",16,59,111,25_ceberal_cortex
"16,59,112",16,59,112,25_ceberal_cortex
"16,59,113",16,59,113,25_ceberal_cortex
"16,59,114",16,59,114,25_ceberal_cortex
"16,59,115",16,59,115,25_ceberal_cortex
"16,59,116",16,59,116,25_ceberal_cortex
"16,59,117",16,59,117,25_ceberal_cortex
"16,59,118",16,59,118,25_ceberal_cortex
"16,59,119",16,59,119,25_ceberal_cortex
"16,59,120",16,59,120,25_ceberal_cortex
"16,59,121",16,59,121,25_ceberal_cortex
"16,59,122",16,59,122,25_ceberal_cortex
"16,59,123",16,59,123,25_ceberal_cortex
"16,59,124",16,59,124,25_ceberal_cortex
"16,59,125",16,59,125,25_ceberal_cortex
"16,59,131",16,59,131,33_RCCC
"16,59,132",16,59,132,33_RCCC
"16,59,133",16,59,133,33_RCCC
"16,59,134",16,59,134,33_RCCC
"16,59,135",16,59,135,33_RCCC
"16,59,136",16,59,136,33_RCCC
"16,59,137",16,59,137,33_RCCC
"16,59,138",16,59,138,33_RCCC
"16,59,139",16,59,139,33_RCCC
"16,59,140",16,59,140,33_RCCC
"16,59,141",16,59,141,33_RCCC
"16,59,142",16,59,142,33_RCCC
"16,59,143",16,59,143,33_RCCC
"16,59,144",16,59,144,33_RCCC
"16,59,145",16,59,145,33_RCCC
"16,59,146",16,59,146,33_RCCC
"16,59,147",16,59,147,33_RCCC
"16,59,148",16,59,148,33_RCCC
"16,59,164",16,59,164,40_collagenous_fiber
"16,59,165",16,59,165,40_collagenous_fiber
"16,59,166",16,59,166,40_collagenous_fiber
"16,59,167",16,59,167,40_collagenous_fiber
"16,59,168",16,59,168,40_collagenous_fiber
"16,59,169",16,59,169,40_collagenous_fiber
"16,59,170",16,59,170,40_collagenous_fiber
"16,59,171",16,59,171,40_collagenous_fiber
"16,59,172",16,59,172,40_collagenous_fiber
"16,59,173",16,59,173,40_collagenous_fiber
"16,59,174",16,59,174,40_collagenous_fiber
"16,59,175",16,59,175,40_collagenous_fiber
"16,59,176",16,59,176,40_collagenous_fiber
"16,59,177",16,59,177,40_collagenous_fiber
"16,59,178",16,59,178,40_collagenous_fiber
"16,59,179",16,59,179,40_collagenous_fiber
"16,59,180",16,59,180,40_collagenous_fiber
"16,59,181",16,59,181,40_collagenous_fiber
"16,59,182",16,59,182,40_collagenous_fiber
"16,59,183",16,59,183,40_collagenous_fiber
"16,59,184",16,59,184,40_collagenous_fiber
"16,59,185",16,59,185,40_collagenous_fiber
"16,60,12",16,60,12,02_testicle
"16,60,13",16,60,13,02_testicle
"16,60,15",16,60,15,02_testicle
"16,60,16",16,60,16,02_testicle
"16,60,17",16,60,17,02_testicle
"16,60,19",16,60,19,02_testicle
"16,60,20",16,60,20,02_testicle
"16,60,21",16,60,21,02_testicle
"16,60,22",16,60,22,02_testicle
"16,60,23",16,60,23,02_testicle
"16,60,24",16,60,24,02_testicle
"16,60,26",16,60,26,02_testicle
"16,60,27",16,60,27,02_testicle
"16,60,28",16,60,28,02_testicle
"16,60,45",16,60,45,10_corpus_luteum
"16,60,46",16,60,46,10_corpus_luteum
"16,60,47",16,60,47,10_corpus_luteum
"16,60,48",16,60,48,10_corpus_luteum
"16,60,49",16,60,49,10_corpus_luteum
"16,60,50",16,60,50,10_corpus_luteum
"16,60,51",16,60,51,10_corpus_luteum
"16,60,52",16,60,52,10_corpus_luteum
"16,60,53",16,60,53,10_corpus_luteum
"16,60,54",16,60,54,10_corpus_luteum
"16,60,55",16,60,55,10_corpus_luteum
"16,60,56",16,60,56,10_corpus_luteum
"16,60,57",16,60,57,10_corpus_luteum
"16,60,58",16,60,58,10_corpus_luteum
"16,60,59",16,60,59,10_corpus_luteum
"16,60,76",16,60,76,17_prostate
"16,60,77",16,60,77,17_prostate
"16,60,78",16,60,78,17_prostate
"16,60,79",16,60,79,17_prostate
"16,60,80",16,60,80,17_prostate
"16,60,81",16,60,81,17_prostate
"16,60,82",16,60,82,17_prostate
"16,60,83",16,60,83,17_prostate
"16,60,84",16,60,84,17_prostate
"16,60,85",16,60,85,17_prostate
"16,60,86",16,60,86,17_prostate
"16,60,87",16,60,87,17_prostate
"16,60,88",16,60,88,17_prostate
"16,60,89",16,60,89,17_prostate
"16,60,90",16,60,90,17_prostate
"16,60,91",16,60,91,17_prostate
"16,60,106",16,60,106,25_ceberal_cortex
"16,60,107",16,60,107,25_ceberal_cortex
"16,60,108",16,60,108,25_ceberal_cortex
"16,60,109",16,60,109,25_ceberal_cortex
"16,60,110",16,60,110,25_ceberal_cortex
"16,60,111",16,60,111,25_ceberal_cortex
"16,60,112",16,60,112,25_ceberal_cortex
"16,60,113",16,60,113,25_ceberal_cortex
"16,60,114",16,60,114,25_ceberal_cortex
"16,60,115",16,60,115,25_ceberal_cortex
"16,60,116",16,60,116,25_ceberal_cortex
"16,60,117",16,60,117,25_ceberal_cortex
"16,60,118",16,60,118,25_ceberal_cortex
"16,60,119",16,60,119,25_ceberal_cortex
"16,60,120",16,60,120,25_ceberal_cortex
"16,60,121",16,60,121,25_ceberal_cortex
"16,60,122",16,60,122,25_ceberal_cortex
"16,60,123",16,60,123,25_ceberal_cortex
"16,60,124",16,60,124,25_ceberal_cortex
"16,60,125",16,60,125,25_ceberal_cortex
"16,60,132",16,60,132,33_RCCC
"16,60,133",16,60,133,33_RCCC
"16,60,134",16,60,134,33_RCCC
"16,60,135",16,60,135,33_RCCC
"16,60,136",16,60,136,33_RCCC
"16,60,137",16,60,137,33_RCCC
"16,60,138",16,60,138,33_RCCC
"16,60,139",16,60,139,33_RCCC
"16,60,140",16,60,140,33_RCCC
"16,60,141",16,60,141,33_RCCC
"16,60,142",16,60,142,33_RCCC
"16,60,143",16,60,143,33_RCCC
"16,60,144",16,60,144,33_RCCC
"16,60,145",16,60,145,33_RCCC
"16,60,146",16,60,146,33_RCCC
"16,60,147",16,60,147,33_RCCC
"16,60,148",16,60,148,33_RCCC
"16,60,164",16,60,164,40_collagenous_fiber
"16,60,165",16,60,165,40_collagenous_fiber
"16,60,166",16,60,166,40_collagenous_fiber
"16,60,167",16,60,167,40_collagenous_fiber
"16,60,168",16,60,168,40_collagenous_fiber
"16,60,169",16,60,169,40_collagenous_fiber
"16,60,170",16,60,170,40_collagenous_fiber
"16,60,171",16,60,171,40_collagenous_fiber
"16,60,172",16,60,172,40_collagenous_fiber
"16,60,173",16,60,173,40_collagenous_fiber
"16,60,174",16,60,174,40_collagenous_fiber
"16,60,175",16,60,175,40_collagenous_fiber
"16,60,176",16,60,176,40_collagenous_fiber
"16,60,177",16,60,177,40_collagenous_fiber
"16,60,178",16,60,178,40_collagenous_fiber
"16,60,179",16,60,179,40_collagenous_fiber
"16,60,180",16,60,180,40_collagenous_fiber
"16,60,181",16,60,181,40_collagenous_fiber
"16,60,182",16,60,182,40_collagenous_fiber
"16,60,183",16,60,183,40_collagenous_fiber
"16,60,184",16,60,184,40_collagenous_fiber
"16,60,185",16,60,185,40_collagenous_fiber
"16,61,14",16,61,14,02_testicle
"16,61,16",16,61,16,02_testicle
"16,61,17",16,61,17,02_testicle
"16,61,18",16,61,18,02_testicle
"16,61,19",16,61,19,02_testicle
"16,61,20",16,61,20,02_testicle
"16,61,21",16,61,21,02_testicle
"16,61,22",16,61,22,02_testicle
"16,61,23",16,61,23,02_testicle
"16,61,25",16,61,25,02_testicle
"16,61,26",16,61,26,02_testicle
"16,61,27",16,61,27,02_testicle
"16,61,28",16,61,28,02_testicle
"16,61,46",16,61,46,10_corpus_luteum
"16,61,47",16,61,47,10_corpus_luteum
"16,61,48",16,61,48,10_corpus_luteum
"16,61,49",16,61,49,10_corpus_luteum
"16,61,50",16,61,50,10_corpus_luteum
"16,61,51",16,61,51,10_corpus_luteum
"16,61,52",16,61,52,10_corpus_luteum
"16,61,53",16,61,53,10_corpus_luteum
"16,61,54",16,61,54,10_corpus_luteum
"16,61,55",16,61,55,10_corpus_luteum
"16,61,56",16,61,56,10_corpus_luteum
"16,61,57",16,61,57,10_corpus_luteum
"16,61,77",16,61,77,17_prostate
"16,61,78",16,61,78,17_prostate
"16,61,79",16,61,79,17_prostate
"16,61,80",16,61,80,17_prostate
"16,61,81",16,61,81,17_prostate
"16,61,82",16,61,82,17_prostate
"16,61,83",16,61,83,17_prostate
"16,61,84",16,61,84,17_prostate
"16,61,85",16,61,85,17_prostate
"16,61,86",16,61,86,17_prostate
"16,61,87",16,61,87,17_prostate
"16,61,88",16,61,88,17_prostate
"16,61,89",16,61,89,17_prostate
"16,61,90",16,61,90,17_prostate
"16,61,107",16,61,107,25_ceberal_cortex
"16,61,108",16,61,108,25_ceberal_cortex
"16,61,109",16,61,109,25_ceberal_cortex
"16,61,110",16,61,110,25_ceberal_cortex
"16,61,111",16,61,111,25_ceberal_cortex
"16,61,112",16,61,112,25_ceberal_cortex
"16,61,113",16,61,113,25_ceberal_cortex
"16,61,114",16,61,114,25_ceberal_cortex
"16,61,115",16,61,115,25_ceberal_cortex
"16,61,116",16,61,116,25_ceberal_cortex
"16,61,117",16,61,117,25_ceberal_cortex
"16,61,118",16,61,118,25_ceberal_cortex
"16,61,119",16,61,119,25_ceberal_cortex
"16,61,120",16,61,120,25_ceberal_cortex
"16,61,121",16,61,121,25_ceberal_cortex
"16,61,122",16,61,122,25_ceberal_cortex
"16,61,123",16,61,123,25_ceberal_cortex
"16,61,124",16,61,124,25_ceberal_cortex
"16,61,133",16,61,133,33_RCCC
"16,61,134",16,61,134,33_RCCC
"16,61,135",16,61,135,33_RCCC
"16,61,136",16,61,136,33_RCCC
"16,61,137",16,61,137,33_RCCC
"16,61,138",16,61,138,33_RCCC
"16,61,139",16,61,139,33_RCCC
"16,61,140",16,61,140,33_RCCC
"16,61,141",16,61,141,33_RCCC
"16,61,142",16,61,142,33_RCCC
"16,61,143",16,61,143,33_RCCC
"16,61,144",16,61,144,33_RCCC
"16,61,145",16,61,145,33_RCCC
"16,61,146",16,61,146,33_RCCC
"16,61,147",16,61,147,33_RCCC
"16,61,164",16,61,164,40_collagenous_fiber
"16,61,165",16,61,165,40_collagenous_fiber
"16,61,166",16,61,166,40_collagenous_fiber
"16,61,167",16,61,167,40_collagenous_fiber
"16,61,168",16,61,168,40_collagenous_fiber
"16,61,169",16,61,169,40_collagenous_fiber
"16,61,170",16,61,170,40_collagenous_fiber
"16,61,171",16,61,171,40_collagenous_fiber
"16,61,172",16,61,172,40_collagenous_fiber
"16,61,173",16,61,173,40_collagenous_fiber
"16,61,174",16,61,174,40_collagenous_fiber
"16,61,175",16,61,175,40_collagenous_fiber
"16,61,176",16,61,176,40_collagenous_fiber
"16,61,177",16,61,177,40_collagenous_fiber
"16,61,178",16,61,178,40_collagenous_fiber
"16,61,179",16,61,179,40_collagenous_fiber
"16,61,180",16,61,180,40_collagenous_fiber
"16,61,181",16,61,181,40_collagenous_fiber
"16,61,182",16,61,182,40_collagenous_fiber
"16,61,183",16,61,183,40_collagenous_fiber
"16,61,184",16,61,184,40_collagenous_fiber
"16,62,16",16,62,16,02_testicle
"16,62,17",16,62,17,02_testicle
"16,62,18",16,62,18,02_testicle
"16,62,19",16,62,19,02_testicle
"16,62,20",16,62,20,02_testicle
"16,62,21",16,62,21,02_testicle
"16,62,22",16,62,22,02_testicle
"16,62,48",16,62,48,10_corpus_luteum
"16,62,49",16,62,49,10_corpus_luteum
"16,62,50",16,62,50,10_corpus_luteum
"16,62,51",16,62,51,10_corpus_luteum
"16,62,52",16,62,52,10_corpus_luteum
"16,62,53",16,62,53,10_corpus_luteum
"16,62,54",16,62,54,10_corpus_luteum
"16,62,55",16,62,55,10_corpus_luteum
"16,62,56",16,62,56,10_corpus_luteum
"16,62,79",16,62,79,17_prostate
"16,62,80",16,62,80,17_prostate
"16,62,81",16,62,81,17_prostate
"16,62,82",16,62,82,17_prostate
"16,62,83",16,62,83,17_prostate
"16,62,84",16,62,84,17_prostate
"16,62,85",16,62,85,17_prostate
"16,62,86",16,62,86,17_prostate
"16,62,87",16,62,87,17_prostate
"16,62,88",16,62,88,17_prostate
"16,62,89",16,62,89,17_prostate
"16,62,108",16,62,108,25_ceberal_cortex
"16,62,109",16,62,109,25_ceberal_cortex
"16,62,110",16,62,110,25_ceberal_cortex
"16,62,111",16,62,111,25_ceberal_cortex
"16,62,112",16,62,112,25_ceberal_cortex
"16,62,113",16,62,113,25_ceberal_cortex
"16,62,114",16,62,114,25_ceberal_cortex
"16,62,115",16,62,115,25_ceberal_cortex
"16,62,116",16,62,116,25_ceberal_cortex
"16,62,117",16,62,117,25_ceberal_cortex
"16,62,118",16,62,118,25_ceberal_cortex
"16,62,119",16,62,119,25_ceberal_cortex
"16,62,120",16,62,120,25_ceberal_cortex
"16,62,121",16,62,121,25_ceberal_cortex
"16,62,122",16,62,122,25_ceberal_cortex
"16,62,123",16,62,123,25_ceberal_cortex
"16,62,134",16,62,134,33_RCCC
"16,62,135",16,62,135,33_RCCC
"16,62,136",16,62,136,33_RCCC
"16,62,137",16,62,137,33_RCCC
"16,62,138",16,62,138,33_RCCC
"16,62,139",16,62,139,33_RCCC
"16,62,140",16,62,140,33_RCCC
"16,62,141",16,62,141,33_RCCC
"16,62,142",16,62,142,33_RCCC
"16,62,143",16,62,143,33_RCCC
"16,62,144",16,62,144,33_RCCC
"16,62,145",16,62,145,33_RCCC
"16,62,146",16,62,146,33_RCCC
"16,62,165",16,62,165,40_collagenous_fiber
"16,62,166",16,62,166,40_collagenous_fiber
"16,62,167",16,62,167,40_collagenous_fiber
"16,62,168",16,62,168,40_collagenous_fiber
"16,62,169",16,62,169,40_collagenous_fiber
"16,62,170",16,62,170,40_collagenous_fiber
"16,62,171",16,62,171,40_collagenous_fiber
"16,62,172",16,62,172,40_collagenous_fiber
"16,62,173",16,62,173,40_collagenous_fiber
"16,62,174",16,62,174,40_collagenous_fiber
"16,62,175",16,62,175,40_collagenous_fiber
"16,62,176",16,62,176,40_collagenous_fiber
"16,62,177",16,62,177,40_collagenous_fiber
"16,62,178",16,62,178,40_collagenous_fiber
"16,62,179",16,62,179,40_collagenous_fiber
"16,62,180",16,62,180,40_collagenous_fiber
"16,62,181",16,62,181,40_collagenous_fiber
"16,62,182",16,62,182,40_collagenous_fiber
"16,62,183",16,62,183,40_collagenous_fiber
"16,62,184",16,62,184,40_collagenous_fiber
"16,63,16",16,63,16,02_testicle
"16,63,17",16,63,17,02_testicle
"16,63,18",16,63,18,02_testicle
"16,63,19",16,63,19,02_testicle
"16,63,20",16,63,20,02_testicle
"16,63,21",16,63,21,02_testicle
"16,63,22",16,63,22,02_testicle
"16,63,23",16,63,23,02_testicle
"16,63,25",16,63,25,02_testicle
"16,63,26",16,63,26,02_testicle
"16,63,82",16,63,82,17_prostate
"16,63,83",16,63,83,17_prostate
"16,63,84",16,63,84,17_prostate
"16,63,85",16,63,85,17_prostate
"16,63,86",16,63,86,17_prostate
"16,63,109",16,63,109,25_ceberal_cortex
"16,63,110",16,63,110,25_ceberal_cortex
"16,63,111",16,63,111,25_ceberal_cortex
"16,63,112",16,63,112,25_ceberal_cortex
"16,63,113",16,63,113,25_ceberal_cortex
"16,63,114",16,63,114,25_ceberal_cortex
"16,63,115",16,63,115,25_ceberal_cortex
"16,63,116",16,63,116,25_ceberal_cortex
"16,63,117",16,63,117,25_ceberal_cortex
"16,63,118",16,63,118,25_ceberal_cortex
"16,63,119",16,63,119,25_ceberal_cortex
"16,63,120",16,63,120,25_ceberal_cortex
"16,63,121",16,63,121,25_ceberal_cortex
"16,63,122",16,63,122,25_ceberal_cortex
"16,63,135",16,63,135,33_RCCC
"16,63,136",16,63,136,33_RCCC
"16,63,137",16,63,137,33_RCCC
"16,63,138",16,63,138,33_RCCC
"16,63,139",16,63,139,33_RCCC
"16,63,140",16,63,140,33_RCCC
"16,63,141",16,63,141,33_RCCC
"16,63,142",16,63,142,33_RCCC
"16,63,143",16,63,143,33_RCCC
"16,63,144",16,63,144,33_RCCC
"16,63,166",16,63,166,40_collagenous_fiber
"16,63,167",16,63,167,40_collagenous_fiber
"16,63,168",16,63,168,40_collagenous_fiber
"16,63,169",16,63,169,40_collagenous_fiber
"16,63,170",16,63,170,40_collagenous_fiber
"16,63,171",16,63,171,40_collagenous_fiber
"16,63,172",16,63,172,40_collagenous_fiber
"16,63,173",16,63,173,40_collagenous_fiber
"16,63,174",16,63,174,40_collagenous_fiber
"16,63,175",16,63,175,40_collagenous_fiber
"16,63,176",16,63,176,40_collagenous_fiber
"16,63,177",16,63,177,40_collagenous_fiber
"16,63,178",16,63,178,40_collagenous_fiber
"16,63,179",16,63,179,40_collagenous_fiber
"16,63,180",16,63,180,40_collagenous_fiber
"16,63,181",16,63,181,40_collagenous_fiber
"16,63,182",16,63,182,40_collagenous_fiber
"16,63,183",16,63,183,40_collagenous_fiber
"16,64,19",16,64,19,02_testicle
"16,64,20",16,64,20,02_testicle
"16,64,21",16,64,21,02_testicle
"16,64,22",16,64,22,02_testicle
"16,64,23",16,64,23,02_testicle
"16,64,24",16,64,24,02_testicle
"16,64,110",16,64,110,25_ceberal_cortex
"16,64,111",16,64,111,25_ceberal_cortex
"16,64,112",16,64,112,25_ceberal_cortex
"16,64,113",16,64,113,25_ceberal_cortex
"16,64,114",16,64,114,25_ceberal_cortex
"16,64,115",16,64,115,25_ceberal_cortex
"16,64,116",16,64,116,25_ceberal_cortex
"16,64,117",16,64,117,25_ceberal_cortex
"16,64,118",16,64,118,25_ceberal_cortex
"16,64,119",16,64,119,25_ceberal_cortex
"16,64,120",16,64,120,25_ceberal_cortex
"16,64,121",16,64,121,25_ceberal_cortex
"16,64,137",16,64,137,33_RCCC
"16,64,138",16,64,138,33_RCCC
"16,64,139",16,64,139,33_RCCC
"16,64,140",16,64,140,33_RCCC
"16,64,141",16,64,141,33_RCCC
"16,64,142",16,64,142,33_RCCC
"16,64,166",16,64,166,40_collagenous_fiber
"16,64,167",16,64,167,40_collagenous_fiber
"16,64,168",16,64,168,40_collagenous_fiber
"16,64,169",16,64,169,40_collagenous_fiber
"16,64,170",16,64,170,40_collagenous_fiber
"16,64,171",16,64,171,40_collagenous_fiber
"16,64,172",16,64,172,40_collagenous_fiber
"16,64,173",16,64,173,40_collagenous_fiber
"16,64,174",16,64,174,40_collagenous_fiber
"16,64,175",16,64,175,40_collagenous_fiber
"16,64,176",16,64,176,40_collagenous_fiber
"16,64,177",16,64,177,40_collagenous_fiber
"16,64,178",16,64,178,40_collagenous_fiber
"16,64,179",16,64,179,40_collagenous_fiber
"16,64,180",16,64,180,40_collagenous_fiber
"16,64,181",16,64,181,40_collagenous_fiber
"16,64,182",16,64,182,40_collagenous_fiber
"16,65,112",16,65,112,25_ceberal_cortex
"16,65,113",16,65,113,25_ceberal_cortex
"16,65,114",16,65,114,25_ceberal_cortex
"16,65,115",16,65,115,25_ceberal_cortex
"16,65,116",16,65,116,25_ceberal_cortex
"16,65,117",16,65,117,25_ceberal_cortex
"16,65,118",16,65,118,25_ceberal_cortex
"16,65,119",16,65,119,25_ceberal_cortex
"16,65,167",16,65,167,40_collagenous_fiber
"16,65,168",16,65,168,40_collagenous_fiber
"16,65,169",16,65,169,40_collagenous_fiber
"16,65,170",16,65,170,40_collagenous_fiber
"16,65,171",16,65,171,40_collagenous_fiber
"16,65,172",16,65,172,40_collagenous_fiber
"16,65,173",16,65,173,40_collagenous_fiber
"16,65,174",16,65,174,40_collagenous_fiber
"16,65,175",16,65,175,40_collagenous_fiber
"16,65,176",16,65,176,40_collagenous_fiber
"16,65,177",16,65,177,40_collagenous_fiber
"16,65,178",16,65,178,40_collagenous_fiber
"16,65,179",16,65,179,40_collagenous_fiber
"16,65,180",16,65,180,40_collagenous_fiber
"16,65,181",16,65,181,40_collagenous_fiber
"16,66,169",16,66,169,40_collagenous_fiber
"16,66,170",16,66,170,40_collagenous_fiber
"16,66,171",16,66,171,40_collagenous_fiber
"16,66,172",16,66,172,40_collagenous_fiber
"16,66,173",16,66,173,40_collagenous_fiber
"16,66,174",16,66,174,40_collagenous_fiber
"16,66,175",16,66,175,40_collagenous_fiber
"16,66,176",16,66,176,40_collagenous_fiber
"16,66,177",16,66,177,40_collagenous_fiber
"16,66,178",16,66,178,40_collagenous_fiber
"16,66,179",16,66,179,40_collagenous_fiber
"16,67,173",16,67,173,40_collagenous_fiber
"16,67,174",16,67,174,40_collagenous_fiber
"16,67,175",16,67,175,40_collagenous_fiber
"16,67,176",16,67,176,40_collagenous_fiber
"16,68,106",16,68,106,26_thyroid
"16,68,107",16,68,107,26_thyroid
"16,69,103",16,69,103,26_thyroid
"16,69,104",16,69,104,26_thyroid
"16,69,105",16,69,105,26_thyroid
"16,69,106",16,69,106,26_thyroid
"16,70,101",16,70,101,26_thyroid
"16,70,102",16,70,102,26_thyroid
"16,70,103",16,70,103,26_thyroid
"16,70,105",16,70,105,26_thyroid
"16,70,106",16,70,106,26_thyroid
"16,70,108",16,70,108,26_thyroid
"16,71,102",16,71,102,26_thyroid
"16,71,104",16,71,104,26_thyroid
"16,71,105",16,71,105,26_thyroid
"16,71,106",16,71,106,26_thyroid
"16,71,107",16,71,107,26_thyroid
"16,71,108",16,71,108,26_thyroid
"16,71,109",16,71,109,26_thyroid
"16,72,80",16,72,80,18_liver
"16,72,81",16,72,81,18_liver
"16,72,82",16,72,82,18_liver
"16,72,83",16,72,83,18_liver
"16,72,84",16,72,84,18_liver
"16,72,100",16,72,100,26_thyroid
"16,72,101",16,72,101,26_thyroid
"16,72,102",16,72,102,26_thyroid
"16,72,103",16,72,103,26_thyroid
"16,72,104",16,72,104,26_thyroid
"16,72,105",16,72,105,26_thyroid
"16,72,106",16,72,106,26_thyroid
"16,72,107",16,72,107,26_thyroid
"16,72,118",16,72,118,26_thyroid
"16,72,119",16,72,119,26_thyroid
"16,73,77",16,73,77,18_liver
"16,73,78",16,73,78,18_liver
"16,73,79",16,73,79,18_liver
"16,73,80",16,73,80,18_liver
"16,73,81",16,73,81,18_liver
"16,73,82",16,73,82,18_liver
"16,73,83",16,73,83,18_liver
"16,73,84",16,73,84,18_liver
"16,73,85",16,73,85,18_liver
"16,73,86",16,73,86,18_liver
"16,73,87",16,73,87,18_liver
"16,73,99",16,73,99,26_thyroid
"16,73,100",16,73,100,26_thyroid
"16,73,101",16,73,101,26_thyroid
"16,73,102",16,73,102,26_thyroid
"16,73,103",16,73,103,26_thyroid
"16,73,104",16,73,104,26_thyroid
"16,73,105",16,73,105,26_thyroid
"16,73,114",16,73,114,26_thyroid
"16,73,115",16,73,115,26_thyroid
"16,73,116",16,73,116,26_thyroid
"16,73,119",16,73,119,26_thyroid
"16,73,121",16,73,121,26_thyroid
"16,73,122",16,73,122,26_thyroid
"16,73,123",16,73,123,26_thyroid
"16,73,124",16,73,124,26_thyroid
"16,73,125",16,73,125,26_thyroid
"16,73,127",16,73,127,26_thyroid
"16,74,76",16,74,76,18_liver
"16,74,77",16,74,77,18_liver
"16,74,78",16,74,78,18_liver
"16,74,79",16,74,79,18_liver
"16,74,80",16,74,80,18_liver
"16,74,81",16,74,81,18_liver
"16,74,82",16,74,82,18_liver
"16,74,83",16,74,83,18_liver
"16,74,84",16,74,84,18_liver
"16,74,85",16,74,85,18_liver
"16,74,86",16,74,86,18_liver
"16,74,87",16,74,87,18_liver
"16,74,88",16,74,88,18_liver
"16,74,98",16,74,98,26_thyroid
"16,74,99",16,74,99,26_thyroid
"16,74,100",16,74,100,26_thyroid
"16,74,101",16,74,101,26_thyroid
"16,74,102",16,74,102,26_thyroid
"16,74,103",16,74,103,26_thyroid
"16,74,104",16,74,104,26_thyroid
"16,74,105",16,74,105,26_thyroid
"16,74,106",16,74,106,26_thyroid
"16,74,108",16,74,108,26_thyroid
"16,74,113",16,74,113,26_thyroid
"16,74,114",16,74,114,26_thyroid
"16,74,115",16,74,115,26_thyroid
"16,74,116",16,74,116,26_thyroid
"16,74,117",16,74,117,26_thyroid
"16,74,118",16,74,118,26_thyroid
"16,74,119",16,74,119,26_thyroid
"16,74,120",16,74,120,26_thyroid
"16,74,121",16,74,121,26_thyroid
"16,74,122",16,74,122,26_thyroid
"16,74,123",16,74,123,26_thyroid
"16,74,124",16,74,124,26_thyroid
"16,74,125",16,74,125,26_thyroid
"16,74,126",16,74,126,26_thyroid
"16,74,127",16,74,127,26_thyroid
"16,74,128",16,74,128,26_thyroid
"16,74,167",16,74,167,41_dedifferentiated_liposarcoma
"16,74,168",16,74,168,41_dedifferentiated_liposarcoma
"16,74,169",16,74,169,41_dedifferentiated_liposarcoma
"16,74,170",16,74,170,41_dedifferentiated_liposarcoma
"16,74,171",16,74,171,41_dedifferentiated_liposarcoma
"16,74,172",16,74,172,41_dedifferentiated_liposarcoma
"16,74,173",16,74,173,41_dedifferentiated_liposarcoma
"16,75,50",16,75,50,11_uterine_cervix
"16,75,51",16,75,51,11_uterine_cervix
